Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
8/25/2021,282.8,289.2,282.45,279.8,284.5,284.4,286.42,360.75,120.8,31538128,9033271163.15
8/26/2021,284.85,287.35,281.65,284.4,284.8,284.3,284.32,360.75,120.8,17864053,5079191329.80
8/27/2021,282.9,286.8,281.7,284.3,285.6,285.75,284.79,360.75,120.8,13477390,3838286971.20
8/30/2021,290.1,293.5,289.9,285.75,291.75,291.95,291.92,360.75,122.15,17217097,5025951682.65
8/31/2021,291.75,291.95,286.1,291.95,287.6,287.3,287.52,360.75,122.15,36951003,10624019307.25
9/1/2021,289,297.4,287.3,287.3,294.65,295.25,291.96,360.75,122.15,33103168,9664696314.10
9/2/2021,295.25,296.3,291.7,295.25,293.05,293.15,293.75,360.75,122.15,14907001,4378976748.85
9/3/2021,292.5,296.45,292,293.15,295,295.55,294.86,360.75,122.15,16594135,4892994837.60
9/6/2021,297.5,298.95,296,295.55,297,297.45,297.59,360.75,122.15,16622865,4946794710.15
9/7/2021,297.35,297.8,290.9,297.45,294.5,294.6,294.55,360.75,122.15,14325904,4219721851.30
9/8/2021,293.5,298.8,291.6,294.6,295.05,295.25,295.58,360.75,122.15,14920479,4410203466.15
9/9/2021,294,303.5,293.55,295.25,298.4,298.95,300.46,360.75,122.15,34020970,10222047776.45
9/13/2021,299,302,295.5,298.95,301.05,301.2,298.84,360.75,122.15,16339860,4882931574.05
9/14/2021,302.25,307.2,302.2,301.2,305.75,306.1,304.96,360.75,122.15,23234649,7085551281.25
9/15/2021,306.1,313,306.1,306.1,311.5,311.95,309.45,360.75,122.15,26808872,8295956079.20
9/16/2021,313.4,315,307.65,311.95,311,311.65,312.21,360.75,122.15,26249369,8195341074.20
9/17/2021,312,315.35,306,311.65,308.15,308.6,310.9,360.75,122.15,24972069,7763920118.90
9/20/2021,304.9,310.25,297.3,308.6,297.8,298.95,304.42,360.75,122.15,19632688,5976499097.70
9/21/2021,298.6,302.7,293.1,298.95,301.6,301.95,297.82,360.75,122.15,19439330,5789349711.65
9/22/2021,303.15,313.8,303,301.95,310,310.1,309.74,360.75,122.15,29545253,9151342129.05
9/23/2021,313.2,324,313.2,310.1,321,321.5,320.11,360.75,122.15,52701665,16870293520.55
9/24/2021,325.1,326.95,316.05,321.5,317.6,317.95,321.43,360.75,122.15,28901243,9289643290.45
9/27/2021,323.15,333.6,323.15,317.95,331,331.65,329.81,360.75,126,56305136,18569825202.30
9/28/2021,334,336,324.5,331.65,328.7,329.3,330.97,360.75,126,28497009,9431666794.80
9/29/2021,325,333,324,329.3,330.35,330.25,329,360.75,126,19740150,6494551004.15
9/30/2021,331.25,337.9,329.1,330.25,333.7,333.35,333.73,360.75,126,30268517,10101655877.85
10/1/2021,332.65,337.3,325.7,333.35,332.9,333.3,331.4,360.75,126,29877695,9901358903.80
10/4/2021,336.8,343.25,335.15,333.3,342,342,340.89,360.75,126,29553072,10074442359.75
10/5/2021,340.45,351.5,338.85,342,345,344.95,346.53,360.75,126,31861985,11041234205.50
10/6/2021,347,348.7,335,344.95,335.6,336.05,340.48,360.75,126,25272592,8604815719.30
10/7/2021,341.1,383,339.25,336.05,378.5,376.5,368.3,383,126,163238084,60120343470.50
10/8/2021,385.9,397.55,380,376.5,382.8,382.95,386.46,397.55,126,93728117,36222633520.35
10/11/2021,390.15,420.9,388,382.95,417.8,415.75,411.01,420.9,126,113404983,46610095970.25
10/12/2021,423,435.7,413.6,415.75,421.25,420.85,424.35,435.7,126,97349265,41309726127.65
10/13/2021,462.9,523.85,462.9,420.85,509.7,506.9,497.76,523.85,126,197949387,98531750923.15
10/14/2021,530,530,492,506.9,496.6,497.6,502.86,530,126,103630901,52112335535.05
10/18/2021,507,525,503.6,497.6,509.8,509.6,515.47,530,126.35,72322623,37280104214.00
10/19/2021,512.45,517.4,476.05,509.6,484.75,481.9,498.07,530,126.35,57428637,28603517918.75
10/20/2021,481.8,497,471.25,481.9,489.7,486.9,484.21,530,126.35,55444814,26847160147.10
10/21/2021,491.75,510.4,485.75,486.9,508.95,508,497.29,530,126.35,52608672,26161533123.30
10/22/2021,509.9,510.7,487.4,508,490.6,490.9,496.34,530,126.35,42742785,21214749436.80
10/25/2021,493.9,496,473.25,490.9,478.8,479.9,480.93,530,130,33107841,15922445349.70
10/26/2021,483.5,510,483.25,479.9,508.2,508.65,500.54,530,130,58027770,29044966108.20
10/27/2021,505.75,506.55,496,508.65,496.8,497.9,501.37,530,130,30361263,15222114327.25
10/28/2021,493.9,493.9,478.55,497.9,481.8,481.05,486.77,530,130,25182748,12258182942.70
10/29/2021,482,491.6,467.7,481.05,484.45,483.7,483.64,530,130,31054342,15019165853.80
11/1/2021,486.45,489.7,469.8,483.7,486.4,485.7,481.98,530,131.1,34315690,16539532647.70
11/2/2021,506.5,510,486.5,485.7,488.05,487.85,494.31,530,131.1,51580720,25497058290.35
11/3/2021,483.8,495,481.6,487.85,485.2,484.9,488.21,530,131.1,22950198,11204555640.25
11/4/2021,489.8,493.55,488,484.9,490.05,489.7,490.51,530,131.1,5531940,2713457669.50
11/8/2021,493.9,504.85,490.25,489.7,501,501.4,499.44,530,138.7,31736426,15850376263.15
11/9/2021,505,520.65,503.5,501.4,511,509.65,513.35,530,138.7,50458762,25902972391.10
11/10/2021,506.25,515.95,500.2,509.65,511,510.75,510.99,530,138.7,26615777,13600481542.90
11/11/2021,510,519,501,510.75,504.5,503.45,508.46,530,138.7,29256213,14875701882.25
11/12/2021,506.95,509.55,497.35,503.45,507.35,507.05,503.75,530,138.7,20731808,10443601228.35
11/15/2021,506.25,514.9,504.5,507.05,504.65,505.45,509.41,530,152.2,18014977,9176940266.55
11/16/2021,506.9,526.85,506.2,505.45,517.95,519.05,519.53,530,152.2,55897781,29040717629.40
11/17/2021,520.25,536.7,520.25,519.05,528.4,530.15,531.42,536.7,152.2,48463415,25754402444.20
11/18/2021,531.45,534.2,501.3,530.15,509.95,509.7,512.83,536.7,152.2,47197742,24204392115.00
11/22/2021,512.25,512.25,478.4,509.7,486.4,486.1,491.76,536.7,156.7,40044849,19692516603.60
11/23/2021,484.4,499.35,477,486.1,495.9,495.5,492.31,536.7,156.7,27553684,13564854601.70
11/24/2021,499,501.8,485.3,495.5,486.9,488.65,495.61,536.7,156.7,20915837,10366047963.80
11/25/2021,490.8,495.15,486.5,488.65,494.2,492.75,490.58,536.7,156.7,15336539,7523819768.30
11/26/2021,486,486.75,458,492.75,459.4,460.2,469.29,536.7,156.7,51787989,24303683199.85
11/29/2021,457,470.75,443.1,460.2,462,461.45,461.25,536.7,156.7,42819150,19750214152.30
11/30/2021,466.55,478,455.65,461.45,458.95,458.6,467.8,536.7,156.7,35471800,16593661067.00
12/1/2021,467.85,478.4,463.55,458.6,478,475.25,469.83,536.7,156.7,28256188,13275619522.25
12/2/2021,479.4,480.45,471.7,475.25,478.5,479.1,476.44,536.7,156.7,21012008,10010906323.75
12/3/2021,480,484.7,477.3,479.1,480.3,480.1,481.07,536.7,156.7,20948900,10077840453.30
12/6/2021,480.1,480.9,466,480.1,467.95,467.2,473.56,536.7,156.7,17473075,8274510342.50
12/7/2021,476.85,484.9,471,467.2,482.3,481.8,477.76,536.7,156.7,21280797,10167044517.85
12/8/2021,484.5,495.95,483.5,481.8,493.6,493.9,489.94,536.7,156.7,20581817,10083800564.20
12/9/2021,498,498.5,489.55,493.9,493.15,493.95,493.32,536.7,156.7,16951593,8362574152.30
12/10/2021,487.75,496.8,486.55,493.95,493.4,494.45,493.5,536.7,156.7,14567815,7189272452.50
12/13/2021,499.45,506.4,494.2,494.45,496,495.35,500.82,536.7,156.7,21921272,10978668796.10
12/14/2021,491.95,491.95,483.3,495.35,489.4,489.4,487.95,536.7,156.7,17722547,8647712141.60
12/15/2021,487.8,497.7,487.25,489.4,489.8,491.65,491.7,536.7,156.7,16263723,7996947883.10
12/16/2021,495,496.5,487.4,491.65,492.05,491.95,491.6,536.7,156.7,13581352,6676637487.50
12/17/2021,488,488.85,468.2,491.95,470.2,470.2,473.46,536.7,156.7,27341178,12944958908.50
12/20/2021,459.9,460,440,470.2,445.55,447.05,449.56,536.7,156.7,33007516,14838879284.00
12/21/2021,452.1,460.9,449.85,447.05,453.5,453.6,455.58,536.7,156.7,18838054,8582211859.00
12/22/2021,458.15,472.15,458.15,453.6,470.5,470.5,467.28,536.7,156.7,22730750,10621673762.95
12/23/2021,476,478,470.95,470.5,472.25,472.35,473.59,536.7,156.7,12116814,5738409519.10
12/24/2021,474.9,474.9,460,472.35,468.3,467.6,465.86,536.7,156.7,15487368,7214911387.35
12/27/2021,465.7,472.45,460.1,467.6,472.45,471.15,467.81,536.7,179,12557565,5874555564.10
12/28/2021,475.2,482.8,472.65,471.15,480.35,480.2,478.62,536.7,179,22860916,10941670530.25
12/29/2021,478.75,481.6,474.25,480.2,474.75,476,477.93,536.7,179,10263884,4905410563.35
12/30/2021,472.55,476.4,468.6,476,472.1,470.4,471.4,536.7,179,11923961,5620985674.80
12/31/2021,472.7,483.6,471.85,470.4,482.8,482.4,479.23,536.7,179,15541446,7447984399.90
1/3/2022,493.5,500.85,492,482.4,496.8,497.6,496.63,536.7,185.05,32748423,16263766656.15
1/4/2022,496.8,499,484.05,497.6,489.35,489.6,490.08,536.7,185.05,24100985,11811451746.05
1/5/2022,486.95,492.75,483.55,489.6,487.85,489.75,488.5,536.7,185.05,15420105,7532700850.60
1/6/2022,481.5,492.95,477.1,489.75,488.4,488.85,486.55,536.7,185.05,16563230,8058757759.45
1/7/2022,490.05,495.5,483.75,488.85,489.85,490.6,489.39,536.7,185.05,15532165,7601279847.45
1/10/2022,493.1,504.9,491.3,490.6,503.6,503.7,500.63,536.7,199.65,25193771,12612749425.55
1/11/2022,503,507.9,498.15,503.7,500.8,501.3,503.8,536.7,199.65,16269193,8196476346.65
1/12/2022,505.85,511.85,503.5,501.3,506.3,507.25,507.75,536.7,199.65,16255334,8253684395.30
1/13/2022,504,513.8,494.8,507.25,512.55,511.95,505.24,536.7,199.65,27572553,13930671599.40
1/14/2022,509,515.4,505.65,511.95,509.4,509.9,510.8,536.7,199.65,12655602,6464423090.35
1/17/2022,514.8,526.9,512,509.9,524.8,525,523.11,536.7,241.15,27942414,14617003186.80
1/18/2022,527.9,528.5,507.15,525,510.95,510.8,520.01,536.7,241.15,19353195,10063784033.65
1/19/2022,510,522.2,504.8,510.8,520.6,520.85,514.8,536.7,241.15,21799071,11222213801.60
1/20/2022,519.95,523.2,512,520.85,516.4,515.7,518.1,536.7,241.15,18364451,9514604777.80
1/21/2022,510.4,513.85,494.25,515.7,504.85,501.85,506.81,536.7,241.15,17946821,9095581366.65
1/24/2022,499.7,504.3,473.35,501.85,477.65,478.45,484.18,536.7,255.35,25228959,12215445228.35
1/25/2022,473.8,492.5,467.65,478.45,489.4,490.55,483.39,536.7,255.35,22565698,10908117337.60
1/27/2022,480.75,502.7,476.6,490.55,496,494.4,488.98,536.7,255.35,26676094,13044048334.40
1/28/2022,500.5,509.35,495.3,494.4,497.3,497.3,502.87,536.7,255.35,21784640,10954813561.10
1/31/2022,505,520,498.2,497.3,517.5,517.75,509.8,536.7,255.35,27306578,13920786046.25
2/1/2022,508,514.75,493,517.75,504.5,504.3,505.96,536.7,255.35,48030231,24301593195.35
2/2/2022,508.6,514.45,505.15,504.3,506.4,506.4,509.34,536.7,255.35,14311040,7289241825.65
2/3/2022,509.1,514.3,502.85,506.4,503.8,504.5,509.3,536.7,255.35,15249245,7766388390.90
2/4/2022,503.8,507.8,499,504.5,500.5,500.6,503.21,536.7,255.35,12663199,6372204907.50
2/7/2022,502.9,504.35,492.5,500.6,493.8,494.6,496.88,536.7,268.45,13392910,6654720138.55
2/8/2022,498,498.5,479.15,494.6,492,492.75,489.24,536.7,268.45,23378623,11437653896.50
2/9/2022,496.5,503.7,494.7,492.75,501.2,501.25,500.34,536.7,268.45,12430730,6219589247.55
2/10/2022,506.7,510.5,504.2,501.25,507.25,507.45,507.83,536.7,268.45,14537945,7382807621.45
2/11/2022,503.25,507,497,507.45,497.55,498.85,501.22,536.7,268.45,13534899,6783991221.95
2/14/2022,487,488.5,468.8,498.85,471,471.45,479.11,536.7,268.45,22157389,10615896091.85
2/15/2022,476.15,505.5,467.3,471.45,503,504,486.19,536.7,268.45,30623088,14888773774.50
2/16/2022,504,507.9,496.6,504,497.45,498.45,502.42,536.7,268.45,20176993,10137291914.20
2/17/2022,505.9,511.5,498.3,498.45,498.7,499.95,505.01,536.7,268.45,27943077,14111498329.35
2/18/2022,498,502.65,491.5,499.95,493.45,493.15,497.39,536.7,268.45,15476803,7698020965.80
2/21/2022,490.15,500.4,486.1,493.15,493.8,494.45,494.28,536.7,268.45,22592161,11166907442.25
